decision_id,date,decision,rationale,approved_by,affected_files
D001,2026-08-04,Use corridor-month as the modelling grain,Supports time-based forecasting and corridor-level planning,project_owner,config/project.yml;docs/decision_contract.md
D002,2026-08-04,Use 43 corridors as the initial candidate set,Maintains the confirmed project boundary while corridor geometry is verified,project_owner,config/project.yml;docs/decision_contract.md
D003,2026-08-04,Use time-based model validation only,Random splitting would leak future information into model evaluation,project_owner,config/project.yml
D004,2026-08-04,Treat budget and equity values as planning scenarios,No official City values have been verified for this project,project_owner,config/project.yml;docs/decision_contract.md
D005,2026-08-04,Keep final authority with the City and engineering teams,The analytical system is decision support and cannot replace feasibility review,project_owner,docs/decision_contract.md
D006,2026-08-04,Preserve raw source files without manual modification,Reproducibility requires cleaning to occur only in interim and processed layers,project_owner,data/raw;data/interim;data/processed
D007,2026-08-04,Use January 2018 through December 2025 as the candidate historical window,This provides exactly 96 citywide monthly periods while excluding incomplete 2017 coverage and partial 2026 data,project_owner,config/project.yml;docs/assumption_register.csv;docs/data_quality/crash_monthly_coverage.csv
D008,2026-08-04,"Use crashes.crash_date as the authoritative event timestamp after joining child sources","All child crash_record_id values matched the crash table but 148 vehicle rows and 161 people rows contained a different redundant crash_date value","project_owner","docs/data_quality/raw_relationship_validation.json;config/acquisition.yml"
D009,2026-08-04,"Use crashes as the parent table and left join vehicle and people enrichments","An inner join would incorrectly remove 1987 crash records that have no corresponding people row","project_owner","docs/data_quality/raw_relationship_validation.json;config/acquisition.yml"
D010,2026-08-09,Persist every crash-cleaning run result and block output publication after critical validation failure,Data-quality failures must remain auditable and must not replace a previously valid analytical dataset,project_owner,config/cleaning.yml;docs/data_quality/cleaning_contract.md;src/data/build_crash_core.py
D011,2026-08-09,Treat configured speed lane and unit plausibility thresholds as warning-only checks,Observed outliers may be source-quality issues but cleaning must preserve records for review,project_owner,config/cleaning.yml;docs/data_quality/cleaning_contract.md;src/data/build_crash_core.py
D012,2026-08-09,Approve the validated crash core for spatial processing with documented limitations,"Independent validation confirmed 877919 rows, exact schema, zero key date and derived-field errors, successful Day 5 reconciliation, and four warning-only quality issues",project_owner,config/cleaning.yml;docs/data_quality/crash_core_deep_validation.json;docs/data_quality/data_quality_issue_register.csv;src/data/crash_validation.py;src/data/validate_clean_crash_core.py
D013,2026-08-09,Use Socrata backing dataset pr57-gg9e for Street Center Lines acquisition,The public map view 6imu-meau is a visualization layer whose legacy export returned an incomplete GeoJSON; the backing dataset returned 56338 paginated features.,project_owner,config/sources.yml;config/spatial.yml;src/data/download_spatial_sources.py
D014,2026-08-09,Preserve invalid street geometries in raw evidence but exclude them from corridor construction,"Two of 56338 centerline features had empty geometries. Valid geometry coverage was 99.9964 percent, above the configured 99.9 percent acceptance threshold.",project_owner,config/spatial.yml;docs/data_quality/spatial_acquisition_manifest.json;docs/data_quality/data_quality_issue_register.csv
D015,2026-08-10,Use page 9 as the canonical corridor-definition source and pages 27 through 29 for cross-reference validation,"Page 9 defines all 43 corridors while pages 27 through 29 confirm endpoints, 23 directional reversals, 16 continuous sub-segment chains, and zero endpoint disagreements",project_owner,config/corridors.yml;config/spatial.yml;docs/data_quality/spatial_assignment_contract.md;src/data/build_corridor_register.py
D016,2026-08-10,Approve three exception routing policies for corridor geometry construction,"Policy B (Lake Shore Drive two-carriageway MultiLineString with 200ft proximity tolerance), Policy C (Fairbanks/Columbus source continuation), Policy D (Wacker multilevel source family). Note that the 200ft boundary tolerance is strictly for centerline endpoint resolution and is not the crash-assignment threshold.",project_owner,config/spatial.yml;docs/data_quality/spatial_assignment_contract.md;src/data/corridor_geometry.py;src/data/build_corridor_geometry.py
